timestamp,entity_type,entity_id,event_type,payload
0.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
1.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
2.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
3.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
4.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
5.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
6.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
7.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
8.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
9.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
10.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
11.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
12.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
13.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
14.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
15.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
16.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
17.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
18.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
19.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
20.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
21.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
22.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
23.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
24.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
25.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
26.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
27.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
28.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
29.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
30.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
31.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
32.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
33.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
34.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
35.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
36.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
37.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
38.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
39.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
40.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
41.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
42.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
43.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
44.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
45.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
46.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
47.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
48.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
49.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
50.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
51.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
52.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
53.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
54.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
55.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
56.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
57.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
58.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
59.0,SimulationClock,,tick,"{""tick_s"": 1.0}"
